date,Total,Rank,country
2006,112.3,1.0,SDN
2006,110.1,2.0,COD
2006,109.2,3.0,CIV
2006,109.0,4.0,IRQ
2006,108.9,5.0,ZWE
2006,105.9,6.0,TCD
2006,105.9,6.0,SOM
2006,104.6,8.0,HTI
2006,103.1,9.0,PAK
2006,99.8,10.0,AFG
2006,99.0,11.0,GIN
2006,99.0,11.0,LBR
2006,97.5,13.0,CAF
2006,97.3,14.0,PRK
2006,96.7,15.0,BDI
2006,96.6,16.0,SLE
2006,96.6,17.0,YEM
2006,96.5,18.0,MMR
2006,96.3,19.0,BGD
2006,95.4,20.0,NPL
2006,94.5,21.0,UGA
2006,94.4,22.0,NGA
2006,94.4,22.0,UZB
2006,92.9,24.0,RWA
2006,92.4,25.0,LKA
2006,91.9,26.0,ETH
2006,91.8,27.0,COL
2006,90.3,28.0,KGZ
2006,89.8,29.0,MWI
2006,89.7,30.0,BFA
2006,89.5,31.0,EGY
2006,89.2,32.0,IDN
2006,88.6,33.0,KEN
2006,88.6,33.0,SYR
2006,88.5,35.0,BIH
2006,88.4,36.0,CMR
2006,88.3,37.0,AGO
2006,88.3,37.0,TGO
2006,87.9,40.0,BTN
2006,87.9,39.0,LAO
2006,87.8,41.0,MRT
2006,87.7,42.0,TJK
2006,87.1,43.0,RUS
2006,87.0,44.0,NER
2006,86.1,45.0,TKM
2006,85.4,46.0,GNB
2006,85.0,47.0,KHM
2006,85.0,47.0,DOM
2006,84.6,49.0,PNG
2006,84.5,50.0,BLR
2006,84.3,51.0,GTM
2006,84.0,52.0,GNQ
2006,84.0,52.0,IRN
2006,83.9,54.0,ERI
2006,83.8,55.0,SRB
2006,82.9,56.0,BOL
2006,82.5,58.0,CHN
2006,82.5,57.0,MDA
2006,82.4,59.0,NIC
2006,82.2,60.0,GEO
2006,81.9,61.0,AZE
2006,81.9,61.0,CUB
2006,81.2,64.0,ECU
2006,81.2,63.0,VEN
2006,80.5,65.0,LBN
2006,79.6,66.0,ZMB
2006,79.4,67.0,PSE
2006,79.2,69.0,PER
2006,79.2,68.0,PHL
2006,78.6,70.0,VNM
2006,78.3,71.0,TZA
2006,77.8,72.0,DZA
2006,77.2,73.0,SAU
2006,77.0,74.0,JOR
2006,76.7,75.0,HND
2006,76.5,76.0,MAR
2006,76.1,77.0,SLV
2006,75.1,78.0,MKD
2006,74.9,79.0,THA
2006,74.8,80.0,MOZ
2006,74.6,81.0,MLI
2006,74.4,82.0,TUR
2006,74.0,83.0,GMB
2006,73.6,84.0,GAB
2006,73.1,85.0,MEX
2006,72.9,86.0,UKR
2006,72.0,87.0,PRY
2006,71.9,88.0,KAZ
2006,71.5,89.0,ARM
2006,70.9,90.0,BEN
2006,70.7,91.0,NAM
2006,70.5,92.0,CYP
2006,70.4,93.0,IND
2006,68.6,94.0,ALB
2006,68.5,95.0,LBY
2006,66.9,96.0,BWA
2006,66.8,97.0,JAM
2006,66.1,98.0,MYS
2006,66.1,98.0,SEN
2006,65.4,100.0,TUN
2006,63.1,101.0,BRA
2006,62.6,102.0,ROU
2006,62.1,103.0,BGR
2006,61.9,104.0,HRV
2006,60.8,105.0,KWT
2006,60.5,106.0,GHA
2006,59.6,107.0,PAN
2006,58.4,108.0,MNG
2006,56.2,109.0,LVA
2006,55.7,110.0,ZAF
2006,51.0,111.0,EST
2006,49.9,112.0,SVK
2006,49.7,113.0,LTU
2006,49.6,114.0,CRI
2006,47.9,115.0,POL
2006,46.7,116.0,HUN
2006,43.8,117.0,OMN
2006,41.9,118.0,MUS
2006,41.8,119.0,CZE
2006,41.2,120.0,URY
2006,41.1,121.0,GRC
2006,40.8,122.0,ARG
2006,39.9,123.0,KOR
2006,39.7,124.0,DEU
2006,37.4,125.0,ESP
2006,36.8,126.0,SVN
2006,35.1,127.0,ITA
2006,34.5,128.0,USA
2006,34.3,129.0,FRA
2006,34.2,130.0,GBR
2006,32.7,131.0,PRT
2006,32.0,132.0,CHL
2006,30.8,133.0,SGP
2006,28.1,134.0,NLD
2006,28.0,135.0,JPN
2006,26.1,136.0,AUT
2006,24.8,137.0,DNK
2006,24.0,138.0,BEL
2006,23.1,139.0,CAN
2006,22.0,140.0,AUS
2006,19.4,141.0,NZL
2006,18.7,142.0,CHE
2006,18.6,143.0,IRL
2006,18.2,144.0,FIN
2006,18.2,144.0,SWE
2006,16.8,146.0,NOR
2007,113.7,1.0,SDN
2007,111.4,2.0,IRQ
2007,111.1,3.0,SOM
2007,110.1,4.0,ZWE
2007,108.8,5.0,TCD
2007,107.3,6.0,CIV
2007,105.5,7.0,COD
2007,102.3,8.0,AFG
2007,101.3,9.0,GIN
2007,101.0,10.0,CAF
2007,100.9,11.0,HTI
2007,100.1,12.0,PAK
2007,97.7,13.0,PRK
2007,97.0,14.0,MMR
2007,96.4,15.0,UGA
2007,95.9,16.0,BGD
2007,95.6,17.0,NGA
2007,95.3,18.0,ETH
2007,95.2,19.0,BDI
2007,94.9,20.0,TLS
2007,93.6,21.0,NPL
2007,93.5,22.0,UZB
2007,93.4,23.0,SLE
2007,93.2,24.0,YEM
2007,93.1,25.0,LKA
2007,93.0,26.0,COG
2007,92.9,27.0,LBR
2007,92.4,28.0,LBN
2007,92.2,29.0,MWI
2007,92.0,30.0,SLB
2007,91.3,31.0,KEN
2007,91.2,32.0,NER
2007,89.7,34.0,BFA
2007,89.7,33.0,COL
2007,89.4,35.0,CMR
2007,89.2,36.0,EGY
2007,89.2,37.0,RWA
2007,88.8,38.0,GNB
2007,88.7,39.0,TJK
2007,88.6,40.0,SYR
2007,88.2,41.0,GNQ
2007,88.2,41.0,KGZ
2007,87.5,43.0,TKM
2007,87.2,44.0,LAO
2007,86.7,45.0,MRT
2007,86.6,46.0,TGO
2007,86.4,47.0,BTN
2007,85.7,48.0,KHM
2007,85.7,48.0,MDA
2007,85.5,50.0,ERI
2007,85.2,51.0,BLR
2007,85.1,52.0,PNG
2007,84.9,53.0,AGO
2007,84.5,54.0,BIH
2007,84.4,55.0,IDN
2007,83.2,56.0,PHL
2007,82.8,57.0,IRN
2007,82.3,58.0,GEO
2007,82.0,59.0,BOL
2007,81.4,60.0,GTM
