,country,Year,HDI
0,AFG,1990,0.285
1,AFG,1991,0.291
2,AFG,1992,0.301
3,AFG,1993,0.311
4,AFG,1994,0.305
5,AFG,1995,0.329
6,AFG,1996,0.334
7,AFG,1997,0.338
8,AFG,1998,0.338
9,AFG,1999,0.347
10,AFG,2000,0.351
11,AFG,2001,0.355
12,AFG,2002,0.383
13,AFG,2003,0.392
14,AFG,2004,0.408
15,AFG,2005,0.417
16,AFG,2006,0.426
17,AFG,2007,0.442
18,AFG,2008,0.446
19,AFG,2009,0.458
20,AFG,2010,0.465
21,AFG,2011,0.474
22,AFG,2012,0.484
23,AFG,2013,0.492
24,AFG,2014,0.497
25,AFG,2015,0.496
26,AFG,2016,0.495
27,AFG,2017,0.496
28,AFG,2018,0.498
29,AFG,2019,0.507
30,AFG,2020,0.501
31,AFG,2021,0.486
32,AFG,2022,0.495
33,AFG,2023,0.496
34,OWID_AFR,2000,0.4245854
35,OWID_AFR,2001,0.4292593
36,OWID_AFR,2002,0.43494922
37,OWID_AFR,2003,0.44065332
38,OWID_AFR,2004,0.44817433
39,OWID_AFR,2005,0.461668
40,OWID_AFR,2006,0.46813595
41,OWID_AFR,2007,0.4750963
42,OWID_AFR,2008,0.49759457
43,OWID_AFR,2009,0.5021216
44,OWID_AFR,2010,0.513888
45,OWID_AFR,2011,0.52003187
46,OWID_AFR,2012,0.5260907
47,OWID_AFR,2013,0.53123987
48,OWID_AFR,2014,0.5367227
49,OWID_AFR,2015,0.5425902
50,OWID_AFR,2016,0.5466387
51,OWID_AFR,2017,0.5504002
52,OWID_AFR,2018,0.5558327
53,OWID_AFR,2019,0.56035364
54,OWID_AFR,2020,0.5594648
55,OWID_AFR,2021,0.56110394
56,OWID_AFR,2022,0.5714846
57,OWID_AFR,2023,0.5760591
58,ALB,1990,0.654
59,ALB,1991,0.638
60,ALB,1992,0.622
61,ALB,1993,0.624
62,ALB,1994,0.629
63,ALB,1995,0.638
64,ALB,1996,0.647
65,ALB,1997,0.645
66,ALB,1998,0.659
67,ALB,1999,0.671
68,ALB,2000,0.682
69,ALB,2001,0.691
70,ALB,2002,0.697
71,ALB,2003,0.705
72,ALB,2004,0.71
73,ALB,2005,0.723
74,ALB,2006,0.732
75,ALB,2007,0.742
76,ALB,2008,0.749
77,ALB,2009,0.756
78,ALB,2010,0.769
79,ALB,2011,0.781
80,ALB,2012,0.79
81,ALB,2013,0.793
82,ALB,2014,0.797
83,ALB,2015,0.797
84,ALB,2016,0.797
85,ALB,2017,0.798
86,ALB,2018,0.801
87,ALB,2019,0.805
88,ALB,2020,0.794
89,ALB,2021,0.794
90,ALB,2022,0.806
91,ALB,2023,0.81
92,DZA,1990,0.595
93,DZA,1991,0.596
94,DZA,1992,0.601
95,DZA,1993,0.603
96,DZA,1994,0.603
97,DZA,1995,0.608
98,DZA,1996,0.615
99,DZA,1997,0.624
100,DZA,1998,0.634
101,DZA,1999,0.643
102,DZA,2000,0.651
103,DZA,2001,0.659
104,DZA,2002,0.669
105,DZA,2003,0.677
106,DZA,2004,0.685
107,DZA,2005,0.692
108,DZA,2006,0.698
109,DZA,2007,0.704
110,DZA,2008,0.711
111,DZA,2009,0.714
112,DZA,2010,0.718
113,DZA,2011,0.718
114,DZA,2012,0.723
115,DZA,2013,0.727
