ISO3,year,score,indicator_id,source
AFG,2000,0.643983534137096,climate_readiness_score,ND-GAIN
ALB,2000,0.506091268221632,climate_readiness_score,ND-GAIN
DZA,2000,0.461793674980076,climate_readiness_score,ND-GAIN
AND,2000,0.413999967524542,climate_readiness_score,ND-GAIN
AGO,2000,0.516752727504355,climate_readiness_score,ND-GAIN
ATG,2000,0.513075181248431,climate_readiness_score,ND-GAIN
ARG,2000,0.410056789322343,climate_readiness_score,ND-GAIN
ARM,2000,0.425843418802032,climate_readiness_score,ND-GAIN
AUS,2000,0.333333773488411,climate_readiness_score,ND-GAIN
AUT,2000,0.334448716003956,climate_readiness_score,ND-GAIN
AZE,2000,0.468375488620022,climate_readiness_score,ND-GAIN
BHS,2000,0.483614093672746,climate_readiness_score,ND-GAIN
BHR,2000,0.504354655173924,climate_readiness_score,ND-GAIN
BGD,2000,0.584735950799933,climate_readiness_score,ND-GAIN
BRB,2000,0.422548119553568,climate_readiness_score,ND-GAIN
BLR,2000,0.404469669853969,climate_readiness_score,ND-GAIN
BEL,2000,0.402545146176046,climate_readiness_score,ND-GAIN
BLZ,2000,0.511052263994351,climate_readiness_score,ND-GAIN
BEN,2000,0.589521269069494,climate_readiness_score,ND-GAIN
BTN,2000,0.556752066027776,climate_readiness_score,ND-GAIN
BOL,2000,0.490901567095203,climate_readiness_score,ND-GAIN
BIH,2000,0.418168633977009,climate_readiness_score,ND-GAIN
BWA,2000,0.533736170401876,climate_readiness_score,ND-GAIN
BRA,2000,0.408765029250017,climate_readiness_score,ND-GAIN
BRN,2000,0.45155186713628,climate_readiness_score,ND-GAIN
BGR,2000,0.412098209605065,climate_readiness_score,ND-GAIN
BFA,2000,0.568560635138105,climate_readiness_score,ND-GAIN
BDI,2000,0.597680359318349,climate_readiness_score,ND-GAIN
KHM,2000,0.537456952454558,climate_readiness_score,ND-GAIN
CMR,2000,0.493086800195045,climate_readiness_score,ND-GAIN
CAN,2000,0.313934800599453,climate_readiness_score,ND-GAIN
CPV,2000,0.491291045340598,climate_readiness_score,ND-GAIN
CAF,2000,0.58235411486098,climate_readiness_score,ND-GAIN
