,Year,ISO3,NATO Member
0,1980,AFG,0
1,1980,ALB,0
2,1980,DZA,0
3,1980,AND,0
4,1980,AGO,0
5,1980,ATG,0
6,1980,ARG,0
7,1980,ARM,0
8,1980,AUS,0
9,1980,AUT,0
10,1980,AZE,0
11,1980,BHS,0
12,1980,BHR,0
13,1980,BGD,0
14,1980,BRB,0
15,1980,BLR,0
16,1980,BEL,1
17,1980,BLZ,0
18,1980,BEN,0
19,1980,BTN,0
20,1980,BOL,0
21,1980,BIH,0
22,1980,BWA,0
23,1980,BRA,0
24,1980,BRN,0
25,1980,BGR,0
26,1980,BFA,0
27,1980,BDI,0
28,1980,CPV,0
29,1980,KHM,0
30,1980,CMR,0
31,1980,CAN,1
32,1980,CAF,0
33,1980,TCD,0
34,1980,CHL,0
35,1980,CHN,0
36,1980,COL,0
37,1980,COM,0
38,1980,COD,0
39,1980,COG,0
40,1980,CRI,0
41,1980,HRV,0
42,1980,CUB,0
43,1980,CYP,0
44,1980,CZE,0
45,1980,DNK,1
46,1980,DJI,0
47,1980,DMA,0
48,1980,DOM,0
49,1980,ECU,0
50,1980,EGY,0
51,1980,SLV,0
52,1980,GNQ,0
53,1980,ERI,0
54,1980,EST,0
55,1980,SWZ,0
56,1980,ETH,0
57,1980,FJI,0
58,1980,FIN,0
59,1980,FRA,1
60,1980,GAB,0
61,1980,GMB,0
62,1980,GEO,0
63,1980,DEU,1
64,1980,GHA,0
65,1980,GRC,1
66,1980,GRD,0
67,1980,GTM,0
68,1980,GIN,0
69,1980,GNB,0
70,1980,GUY,0
71,1980,HTI,0
72,1980,VAT,0
73,1980,HND,0
74,1980,HUN,0
75,1980,ISL,1
76,1980,IND,0
77,1980,IDN,0
78,1980,IRN,0
79,1980,IRQ,0
80,1980,IRL,0
81,1980,ISR,0
82,1980,ITA,1
83,1980,JAM,0
84,1980,JPN,0
85,1980,JOR,0
86,1980,KAZ,0
87,1980,KEN,0
88,1980,KIR,0
89,1980,PRK,0
90,1980,KOR,0
91,1980,XKX,0
92,1980,KWT,0
93,1980,KGZ,0
94,1980,LAO,0
95,1980,LVA,0
96,1980,LBN,0
97,1980,LSO,0
98,1980,LBR,0
99,1980,LBY,0
100,1980,LIE,0
101,1980,LTU,0
102,1980,LUX,1
103,1980,MDG,0
104,1980,MWI,0
105,1980,MYS,0
106,1980,MDV,0
107,1980,MLI,0
108,1980,MLT,0
109,1980,MHL,0
110,1980,MRT,0
111,1980,MUS,0
112,1980,MEX,0
113,1980,FSM,0
114,1980,MDA,0
115,1980,MCO,0
116,1980,MNG,0
117,1980,MNE,0
118,1980,MAR,0
119,1980,MOZ,0
120,1980,MMR,0
121,1980,NAM,0
122,1980,NRU,0
123,1980,NPL,0
124,1980,NLD,1
125,1980,NZL,0
126,1980,NIC,0
127,1980,NER,0
128,1980,NGA,0
129,1980,MKD,0
130,1980,NOR,1
131,1980,OMN,0
132,1980,PAK,0
133,1980,PLW,0
134,1980,PSE,0
135,1980,PAN,0
136,1980,PNG,0
137,1980,PRY,0
138,1980,PER,0
139,1980,PHL,0
140,1980,POL,0
141,1980,PRT,1
142,1980,QAT,0
143,1980,ROU,0
144,1980,RUS,0
145,1980,RWA,0
146,1980,KNA,0
147,1980,LCA,0
148,1980,VCT,0
149,1980,WSM,0
150,1980,SMR,0
151,1980,STP,0
152,1980,SAU,0
153,1980,SEN,0
154,1980,SRB,0
155,1980,SYC,0
156,1980,SLE,0
157,1980,SGP,0
158,1980,SVK,0
159,1980,SVN,0
160,1980,SLB,0
161,1980,SOM,0
162,1980,ZAF,0
163,1980,SSD,0
164,1980,ESP,0
165,1980,LKA,0
166,1980,SDN,0
167,1980,SUR,0
168,1980,SWE,0
169,1980,CHE,0
170,1980,SYR,0
171,1980,TWN,0
172,1980,TJK,0
173,1980,TZA,0
174,1980,THA,0
175,1980,TLS,0
176,1980,TGO,0
177,1980,TON,0
178,1980,TTO,0
179,1980,TUN,0
180,1980,TUR,1
181,1980,TKM,0
182,1980,TUV,0
183,1980,UGA,0
184,1980,UKR,0
185,1980,ARE,0
186,1980,GBR,1
187,1980,USA,1
188,1980,URY,0
189,1980,UZB,0
190,1980,VUT,0
191,1980,VEN,0
192,1980,VNM,0
193,1980,YEM,0
194,1980,ZMB,0
195,1980,ZWE,0
196,1981,AFG,0
197,1981,ALB,0
198,1981,DZA,0
199,1981,AND,0
200,1981,AGO,0
